title,type,date_due,completed,interval,completed_dates,date_created
new,Task,2/2/2022,FALSE,,,7/3/2024
Do laundry,Task,9/3/2024,FALSE,,,7/3/2024
Clean room,Task,6/3/2024,FALSE,,,7/3/2024
Do homework,Task,10/3/2024,FALSE,,,7/3/2024
Walk dog,Task,12/3/2024,FALSE,,,7/3/2024
Do dishes,Task,13/03/2024,FALSE,,,7/3/2024
Go to the gym,RecurringTask,7/3/2024,FALSE,"7 days, 0:00:00","2024-02-29,2024-02-22,2024-02-14",8/2/2024
t1,Task,2/2/2022,FALSE,,,7/12/2025
fgh,Task,2/2/2022,FALSE,,,7/12/2025
1asf,Task,2/2/2022,FALSE,,,12/7/2025
111,Task,2/2/2222,FALSE,,,12/7/2025
rtyuiop,RecurringTask,1/1/2022,TRUE,8 days,,12/7/2025
one new,Task,4/4/2022,FALSE,,,12/7/2025
fill the bottle,Task,1/1/2022,FALSE,,,14/07/2025
